date,close
2022-11-01 09:14:00,18130.7
2022-11-01 09:15:00,18105.1
2022-11-01 09:16:00,18099.6
2022-11-01 09:17:00,18114.35
2022-11-01 09:18:00,18104
2022-11-01 09:19:00,18104.3
2022-11-01 09:20:00,18100.8
2022-11-01 09:21:00,18095.75
2022-11-01 09:22:00,18100.4
2022-11-01 09:23:00,18106.8
2022-11-01 09:24:00,18108.85
2022-11-01 09:25:00,18115.7
2022-11-01 09:26:00,18115.2
2022-11-01 09:27:00,18112.25
2022-11-01 09:28:00,18111.35
2022-11-01 09:29:00,18118.15
2022-11-01 09:30:00,18115.95
2022-11-01 09:31:00,18114.05
2022-11-01 09:32:00,18113.55
2022-11-01 09:33:00,18114.75
2022-11-01 09:34:00,18111.65
2022-11-01 09:35:00,18108.15
2022-11-01 09:36:00,18103.9
2022-11-01 09:37:00,18106.7
2022-11-01 09:38:00,18110.7
2022-11-01 09:39:00,18113.55
2022-11-01 09:40:00,18121.05
2022-11-01 09:41:00,18121.55
2022-11-01 09:42:00,18125.2
2022-11-01 09:43:00,18120.55
2022-11-01 09:44:00,18120.7
2022-11-01 09:45:00,18125.15
2022-11-01 09:46:00,18127.75
2022-11-01 09:47:00,18130.95
2022-11-01 09:48:00,18130.4
2022-11-01 09:49:00,18133.85
2022-11-01 09:50:00,18132.25
2022-11-01 09:51:00,18136.65
2022-11-01 09:52:00,18134.5
2022-11-01 09:53:00,18140.45
2022-11-01 09:54:00,18139
2022-11-01 09:55:00,18137.35
2022-11-01 09:56:00,18133.3
2022-11-01 09:57:00,18136.15
2022-11-01 09:58:00,18140.15
2022-11-01 09:59:00,18139.5
2022-11-01 10:00:00,18138.5
2022-11-01 10:01:00,18139.9
2022-11-01 10:02:00,18135.65
2022-11-01 10:03:00,18140.75
2022-11-01 10:04:00,18145.25
2022-11-01 10:05:00,18144.15
2022-11-01 10:06:00,18141.4
2022-11-01 10:07:00,18140.85
2022-11-01 10:08:00,18138.5
2022-11-01 10:09:00,18146.55
2022-11-01 10:10:00,18153.9
2022-11-01 10:11:00,18153.4
2022-11-01 10:12:00,18159.25
2022-11-01 10:13:00,18159.35
2022-11-01 10:14:00,18159.65
2022-11-01 10:15:00,18162.75
2022-11-01 10:16:00,18162.1
2022-11-01 10:17:00,18159.2
2022-11-01 10:18:00,18157.25
2022-11-01 10:19:00,18159.15
2022-11-01 10:20:00,18155.9
2022-11-01 10:21:00,18157.9
2022-11-01 10:22:00,18160.5
2022-11-01 10:23:00,18152.3
2022-11-01 10:24:00,18149.25
2022-11-01 10:25:00,18154
2022-11-01 10:26:00,18155.6
2022-11-01 10:27:00,18151.8
2022-11-01 10:28:00,18153.05
2022-11-01 10:29:00,18156.45
2022-11-01 10:30:00,18153.8
2022-11-01 10:31:00,18152.05
2022-11-01 10:32:00,18149.2
2022-11-01 10:33:00,18147.75
2022-11-01 10:34:00,18146.35
2022-11-01 10:35:00,18149.55
2022-11-01 10:36:00,18152.2
2022-11-01 10:37:00,18152.25
2022-11-01 10:38:00,18154.25
2022-11-01 10:39:00,18155.35
2022-11-01 10:40:00,18158.35
2022-11-01 10:41:00,18164.15
2022-11-01 10:42:00,18162.9
2022-11-01 10:43:00,18162.5
2022-11-01 10:44:00,18163.2
2022-11-01 10:45:00,18168.4
2022-11-01 10:46:00,18168.55
2022-11-01 10:47:00,18167
2022-11-01 10:48:00,18171.35
2022-11-01 10:49:00,18170
2022-11-01 10:50:00,18167.55
2022-11-01 10:51:00,18166.95
2022-11-01 10:52:00,18164.5
2022-11-01 10:53:00,18165.8
2022-11-01 10:54:00,18166.1
2022-11-01 10:55:00,18167.8
2022-11-01 10:56:00,18169.85
2022-11-01 10:57:00,18172.65
2022-11-01 10:58:00,18173.8
2022-11-01 10:59:00,18167.95
2022-11-01 11:00:00,18164.75
2022-11-01 11:01:00,18163
2022-11-01 11:02:00,18163.65
2022-11-01 11:03:00,18156.55
2022-11-01 11:04:00,18155.3
2022-11-01 11:05:00,18155.35
2022-11-01 11:06:00,18160
2022-11-01 11:07:00,18161.55
2022-11-01 11:08:00,18162.05
2022-11-01 11:09:00,18160.85
2022-11-01 11:10:00,18158.05
2022-11-01 11:11:00,18155.4
2022-11-01 11:12:00,18153.05
2022-11-01 11:13:00,18148.8
2022-11-01 11:14:00,18154.7
2022-11-01 11:15:00,18157.55
2022-11-01 11:16:00,18157.65
2022-11-01 11:17:00,18156.75
2022-11-01 11:18:00,18153.5
2022-11-01 11:19:00,18156
2022-11-01 11:20:00,18158.5
2022-11-01 11:21:00,18157.7
2022-11-01 11:22:00,18160.25
2022-11-01 11:23:00,18158.2
2022-11-01 11:24:00,18154.6
2022-11-01 11:25:00,18154.8
2022-11-01 11:26:00,18151.8
2022-11-01 11:27:00,18146.6
2022-11-01 11:28:00,18142.45
2022-11-01 11:29:00,18143.05
2022-11-01 11:30:00,18137.1
2022-11-01 11:31:00,18144.15
2022-11-01 11:32:00,18143.7
2022-11-01 11:33:00,18136.45
2022-11-01 11:34:00,18139.35
2022-11-01 11:35:00,18139.9
2022-11-01 11:36:00,18139.6
2022-11-01 11:37:00,18139
2022-11-01 11:38:00,18141.95
2022-11-01 11:39:00,18143.1
2022-11-01 11:40:00,18138.85
2022-11-01 11:41:00,18135.9
2022-11-01 11:42:00,18136.15
2022-11-01 11:43:00,18137.55
2022-11-01 11:44:00,18136
2022-11-01 11:45:00,18138.6
2022-11-01 11:46:00,18138.55
2022-11-01 11:47:00,18139.3
2022-11-01 11:48:00,18139.55
2022-11-01 11:49:00,18140.65
2022-11-01 11:50:00,18143.25
2022-11-01 11:51:00,18141.3
2022-11-01 11:52:00,18142.05
2022-11-01 11:53:00,18141.4
2022-11-01 11:54:00,18141.35
2022-11-01 11:55:00,18143.95
2022-11-01 11:56:00,18146.55
2022-11-01 11:57:00,18148.25
2022-11-01 11:58:00,18150.4
2022-11-01 11:59:00,18151.75
2022-11-01 12:00:00,18146.5
